year,last_name, first_name,pitcher_id,team_name,team_name_abbrev,pitch_hand,avg_speed,pitches_thrown,total_pitches,pitches_per_game,pitch_per,pitch_type,pitch_type_name,pitcher_break_z,league_break_z,diff_z,rise,pitcher_break_x,league_break_x,diff_x,tail,percent_rank_diff_z,percent_rank_diff_x
2021,Smyly, Drew,592767,Braves,ATL,L,78.9,897,2139,13.285714285714286,0.41935483870967744,CUKC,Curveball,44.2,-53.1,-8.9,-17,2.9,6.7,-9.6,-144,0.043478260869565216,0
2021,DeSclafani, Anthony,543101,Giants,SF,R,88,897,2558,15.790123456790123,0.3506645817044566,SL,Slider,30.4,-32.4,-2,-6,4.1,4.2,0,-1,0.24054054054054055,0.5432432432432432
2021,Berríos, José,621244,Blue Jays,TOR,R,93.8,896,3043,18.78395061728395,0.294446270128163,SIFT,Sinker,19.8,-21.5,-1.6,-8,16.2,-14.8,1.4,9,0.29508196721311475,0.7540983606557377
2021,Urquidy, José,664353,Astros,HOU,R,92.5,896,1631,10.067901234567902,0.5493562231759657,FF,4-Seamer,12.7,-14.9,2.2,15,7.8,-6.5,1.3,21,0.9073634204275535,0.6294536817102138
2021,Megill, Tylor,656731,Mets,NYM,R,94.6,895,1554,9.592592592592593,0.575933075933076,FF,4-Seamer,14.4,-14.2,-0.2,-2,9.4,-7,2.4,35,0.48931116389548696,0.7719714964370546
2021,Ohtani, Shohei,660271,Angels,LAA,R,95.6,893,2027,12.512345679012345,0.44055254070054267,FF,4-Seamer,14.7,-13.5,-1.2,-9,3.8,-7.2,-3.4,-47,0.28028503562945367,0.1377672209026128
2021,Kikuchi, Yusei,579328,Mariners,SEA,L,91.3,890,2562,15.814814814814815,0.3473848555815769,FC,Cutter,23.2,-23.2,0.1,0,0,1.5,-1.5,-101,0.544,0.264
2021,Suter, Brent,608718,Brewers,MIL,L,87.3,880,1221,7.537037037037037,0.7207207207207207,FF,4-Seamer,23.9,-20.8,-3.1,-15,3.6,-1.2,-4.9,-393,0.0831353919239905,0.04513064133016627
2021,Montas, Frankie,593423,Athletics,OAK,R,96.2,879,3028,18.691358024691358,0.29029062087186264,SIFT,Sinker,15.4,-19.7,-4.3,-22,14.9,-14.9,0,0,0.08196721311475409,0.4180327868852459
2021,Montas, Frankie,593423,Athletics,OAK,R,96.4,877,3028,18.691358024691358,0.28963011889035667,FF,4-Seamer,12,-13.2,1.3,10,7,-7,0,-1,0.8076009501187649,0.4655581947743468
2021,Alcantara, Sandy,645261,Marlins,MIA,R,97.6,874,3095,19.104938271604937,0.2823909531502423,SIFT,Sinker,21.5,-19.7,1.8,9,17.3,-15.3,1.9,13,0.7377049180327869,0.8360655737704918
2021,Velasquez, Vince,592826,Padres,SD,R,93.2,874,1750,10.802469135802468,0.49942857142857144,FF,4-Seamer,13.2,-15.2,2,13,3.6,-7.3,-3.6,-50,0.8931116389548693,0.1187648456057007
2021,Singer, Brady,663903,Royals,KC,R,85.4,872,2287,14.117283950617283,0.3812855268911237,SL,Slider,36.6,-35.6,1,3,3.8,5.7,-1.9,-34,0.5972972972972973,0.3216216216216216
2021,Gutierrez, Vladimir,661269,Reds,CIN,R,93.2,864,1831,11.302469135802468,0.4718732932823594,FF,4-Seamer,16.6,-16,-0.7,-4,10.3,-8.2,2.1,26,0.3847980997624703,0.7410926365795725
2021,Wainwright, Adam,425794,Cardinals,STL,R,89.1,860,3068,18.938271604938272,0.2803129074315515,SIFT,Sinker,22.2,-23.2,-1,-4,12.7,-13.8,-1,-8,0.3729508196721312,0.2786885245901639
2021,Kershaw, Clayton,477132,Dodgers,LAD,L,87.1,858,1806,11.148148148148149,0.4750830564784053,SL,Slider,27.9,-33.5,-5.6,-17,4.7,4,0.7,18,0.016216216216216217,0.6405405405405405
